temperature,humidity,time
31.0,35.0,2023-07-06 17:22:27.527216
31.0,35.0,2023-07-06 17:22:29.053016
31.0,35.0,2023-07-06 17:22:30.578825
31.0,35.0,2023-07-06 17:22:32.104640
31.0,35.0,2023-07-06 17:22:33.630510
31.0,35.0,2023-07-06 17:22:35.156261
31.0,35.0,2023-07-06 17:22:36.682096
31.0,35.0,2023-07-06 17:22:38.207951
31.0,35.0,2023-07-06 17:22:39.733819
31.0,35.0,2023-07-06 17:22:41.259793
31.0,35.0,2023-07-06 17:22:42.785693
31.0,36.0,2023-07-06 17:22:44.312296
31.0,36.0,2023-07-06 17:22:45.838133
31.0,36.0,2023-07-06 17:22:47.364660
31.0,36.0,2023-07-06 17:22:48.893729
31.0,36.0,2023-07-06 17:22:50.420202
31.0,36.0,2023-07-06 17:22:51.945989
31.0,36.0,2023-07-06 17:22:53.472282
31.0,36.0,2023-07-06 17:22:54.998049
31.0,36.0,2023-07-06 17:22:56.523882
31.0,36.0,2023-07-06 17:22:58.049650
31.0,35.0,2023-07-06 17:22:59.575498
31.0,35.0,2023-07-06 17:23:01.101343
31.0,35.0,2023-07-06 17:23:02.627219
31.0,35.0,2023-07-06 17:23:04.153043
31.0,35.0,2023-07-06 17:23:05.678885
31.0,35.0,2023-07-06 17:23:07.204738
31.0,35.0,2023-07-06 17:23:11.261335
31.0,35.0,2023-07-06 17:23:12.787313
31.0,35.0,2023-07-06 17:23:16.840395
31.0,35.0,2023-07-06 17:23:18.366645
31.0,35.0,2023-07-06 17:23:19.893837
31.0,35.0,2023-07-06 17:23:21.420510
31.0,35.0,2023-07-06 17:23:22.946461
31.0,35.0,2023-07-06 17:23:24.473627
31.0,35.0,2023-07-06 17:23:25.999549
31.0,35.0,2023-07-06 17:23:27.526141
31.0,35.0,2023-07-06 17:23:29.051939
31.0,35.0,2023-07-06 17:23:30.577684
31.0,35.0,2023-07-06 17:23:32.103431
31.0,35.0,2023-07-06 17:23:33.629228
31.0,35.0,2023-07-06 17:23:35.154948
31.0,35.0,2023-07-06 17:23:36.680837
31.0,35.0,2023-07-06 17:23:38.206571
31.0,35.0,2023-07-06 17:23:39.732398
31.0,35.0,2023-07-06 17:23:41.258344
31.0,35.0,2023-07-06 17:23:42.784247
31.0,35.0,2023-07-06 17:23:44.310496
31.0,35.0,2023-07-06 17:23:45.836280
31.0,35.0,2023-07-06 17:23:47.362553
31.0,35.0,2023-07-06 17:23:48.888299
31.0,35.0,2023-07-06 17:23:50.414819
31.0,35.0,2023-07-06 17:23:51.940628
31.0,35.0,2023-07-06 17:23:53.466877
31.0,35.0,2023-07-06 17:23:54.992613
31.0,35.0,2023-07-06 17:23:56.518338
31.0,35.0,2023-07-06 17:23:58.044090
31.0,35.0,2023-07-06 17:23:59.569794
31.0,34.0,2023-07-06 17:24:01.095465
